node1,node2,network
9218,273193,1
9218,1209953,1
9218,791537,1
9218,753227,1
9218,1562177,1
9218,146227,1
9218,1422230,1
9218,804677,1
9218,525564,1
9218,1337024,1
9218,1095626,1
9218,924897,1
9218,983619,1
9218,1184384,1
9218,1053122,1
9218,120598,1
9218,571152,1
9218,792608,1
9218,1385163,1
9218,124097,1
9218,722371,1
9218,430867,1
9218,919935,1
9218,1536780,1
9218,124911,1
9218,1367740,1
9218,16043,1
9218,1304824,1
9218,561028,1
9218,668253,1
9218,1420280,1
9218,1464091,1
9218,817745,1
9218,1077835,1
9218,259515,1
9218,1263683,1
9218,673828,1
9218,70279,1
9218,958810,1
9218,10708,1
9218,865504,1
9218,1320168,1
9218,137727,1
9218,258517,1
9218,460185,1
9218,823178,1
9218,1226075,1
9218,1307415,1
9218,1047107,1
9218,1318218,1
9218,954637,1
9218,946580,1
9218,1282810,1
9218,155046,1
9218,421321,1
9218,817649,1
9218,413226,1
9218,1514821,1
9218,1528207,1
9218,1338880,1
9218,659259,1
920870,575106,1
920870,1041781,1
920870,1260517,1
920870,180190,1
920870,124314,1
920870,590639,1
920870,38874,1
920870,1466044,1
920870,1460953,1
920870,30198,1
920870,1431049,1
920870,962172,1
920870,330859,1
920870,1525475,1
920870,585841,1
920870,1528541,1
920870,1414591,1
920870,502081,1
920870,910242,1
920870,1276649,1
958443,1055153,1
958443,1013928,1
958443,790309,1
958443,1347237,1
958443,1394068,1
958443,1115071,1
958443,1136418,1
958443,485402,1
958443,150855,1
5901,1582719,1
5901,835174,1
244165,726480,1
244165,1065888,1
1439672,8772,1
1439672,618272,1
1439672,1333513,1
1439672,323212,1
5912,488794,1
5912,688219,1
5912,1159397,1
5912,593571,1
5912,8022,1
5912,593293,1
5912,1219199,1
5912,1488048,1
5912,571176,1
345174,71281,1
345174,889635,1
345174,140614,1
345174,730922,1
345174,207389,1
345174,506846,1
345174,378074,1
345174,514277,1
345174,1011716,1
523201,323212,1
523201,1295999,1
523201,1075063,1
523201,1283717,1
566294,1536544,1
566294,851464,1
566294,1285850,1
566294,786416,1
566294,219710,1
566294,112193,1
566294,373042,1
566294,1155919,1
566294,961447,1
566294,1123457,1
566294,843653,1
566294,1546460,1
566294,368981,1
566294,1280259,1
566294,63936,1
566294,375164,1
566294,964390,1
566294,114986,1
566294,1020181,1
566294,63076,1
566294,1002156,1
566294,652386,1
566294,1182693,1
566294,654807,1
566294,700364,1
566294,19845,1
566294,969237,1
566294,1317855,1
566294,1428983,1
566294,1084325,1
566294,367731,1
566294,1553729,1
834480,1533887,1
834480,917166,1
834480,1075063,1
834480,1447853,1
933728,1131493,1
933728,240216,1
933728,538528,1
933728,1244795,1
933728,453531,1
933728,804016,1
933728,1104850,1
933728,1419819,1
933728,1134206,1
944881,1252123,1
944881,454566,1
944881,651660,1
944881,893279,1
944881,278611,1
944881,1470465,1
944881,584766,1
944881,233590,1
944881,658481,1
944881,43316,1
944881,1301072,1
944881,1527938,1
944881,1068873,1
944881,683960,1
991541,215044,1
991541,891601,1
991541,1142180,1
1302208,391310,1
1302208,1523498,1
1302208,171462,1
1302208,277197,1
1302208,1556640,1
6257,1336126,1
1297273,636583,1
1297273,430113,1
1297273,369308,1
1297273,954288,1
1297273,1048030,1
1297273,50995,1
1297273,682481,1
1297273,31414,1
1297273,18426,1
1297273,804589,1
1297273,1363155,1
1297273,668746,1
1297273,554444,1
1297273,1177896,1
1297273,340180,1
1297273,1496444,1
1297273,948074,1
1297273,1011201,1
1297273,889209,1
1297273,665698,1
1297273,103478,1
1297273,514160,1
1297273,1295402,1
6288,1484442,1
6288,486806,1
6288,119723,1
6288,951651,1
6288,1147677,1
6288,394017,1
6288,1280441,1
6288,57853,1
6288,809457,1
6288,977133,1
6288,1023441,1
6288,819130,1
6288,697434,1
6288,66483,1
6288,1462492,1
6288,896973,1
6288,364133,1
6288,1409082,1
6288,1014611,1
6288,680073,1
6288,136540,1
6288,752078,1
6288,1276361,1
6288,1369946,1
6288,1542498,1
6288,744403,1
6288,303349,1
6288,573285,1
6288,851120,1
6288,124938,1
6288,93652,1
6288,919790,1
6288,7872,1
6288,1404556,1
6288,81670,1
6288,1134473,1
6288,1383984,1
6288,462784,1
6288,211037,1
6288,604145,1
6288,329296,1
6288,1012885,1
6288,1278533,1
6288,1559590,1
6288,1563733,1
6288,295480,1
6288,689019,1
6288,1338285,1
6288,697665,1
6288,94382,1
6288,383338,1
6288,1313787,1
6288,618017,1
6288,786659,1
6288,989765,1
6288,390173,1
6288,749485,1
6288,425139,1
6288,568525,1
6288,489039,1
6288,1294410,1
6288,1580620,1
6288,1081563,1
6288,298509,1
6288,146115,1
6288,828598,1
6288,672662,1
6288,512322,1
6288,1507960,1
6288,1508763,1
6288,6714,1
6288,604934,1
6288,1521837,1
6288,804785,1
6288,1400756,1
6288,533711,1
6288,551654,1
6288,291644,1
6288,869118,1
6288,130232,1
6288,80358,1
6288,838866,1
6288,258867,1
6288,1151065,1
6288,624171,1
6288,182666,1
6288,1520431,1
6288,541332,1
6288,378377,1
6288,1130936,1
6288,947557,1
6288,270919,1
6288,1287919,1
6288,369547,1
6288,638098,1
6288,1314535,1
6288,1381442,1
6288,1112960,1
6288,1189347,1
6288,856853,1
6288,1260912,1
6288,820078,1
6288,829433,1
12345,1420272,1
12345,37107,1
12345,986846,1
12345,854498,1
12345,792007,1
12345,1555554,1
12345,523830,1
12345,418734,1
12345,1377119,1
12345,1151165,1
12345,272966,1
12345,1127633,1
12345,976348,1
12345,783518,1
12345,572334,1
12345,619865,1
12345,811070,1
12345,431712,1
12345,104651,1
12345,800898,1
12345,33742,1
12345,1304517,1
12345,400210,1
12345,1464143,1
12345,747653,1
12345,214705,1
12345,508600,1
12345,1379943,1
12345,681684,1
12345,1292058,1
12345,1101821,1
12345,1414166,1
12345,424240,1
12345,321644,1
12345,427490,1
12345,1586160,1
12345,121286,1
16842,579622,1
16842,1562667,1
16842,368232,1
16842,1155837,1
16842,1053225,1
16842,668957,1
16842,604461,1
16842,1488048,1
16842,1033464,1
23665,703746,1
23665,1075777,1
23665,190896,1
23665,835019,1
23665,698521,1
23665,1351383,1
23665,1210983,1
23665,705505,1
23665,1253967,1
23665,427265,1
23665,460914,1
30338,273728,1
30338,1339915,1
30338,1570196,1
30338,9106,1
30338,340180,1
30338,1341247,1
30338,380617,1
30338,656426,1
30338,1343674,1
30338,114839,1
30338,93579,1
30338,27799,1
30338,925889,1
30338,1061196,1
30338,428135,1
30338,134940,1
30338,1174664,1
30338,970730,1
30338,210691,1
30338,840101,1
30338,705880,1
30338,764595,1
62237,130759,1
62237,45876,1
62237,1192703,1
62237,1169884,1
62237,529890,1
62237,952058,1
62237,1448162,1
62237,838284,1
62237,893680,1
62237,332379,1
62237,708800,1
62237,1392890,1
62237,564455,1
62237,1003379,1
62237,1002463,1
62237,779342,1
62237,968145,1
62237,853980,1
62237,1196987,1
62237,313571,1
62237,1551150,1
62237,23189,1
62237,241608,1
62237,1308101,1
62237,648561,1
62237,649586,1
62237,1109572,1
62237,164184,1
62237,1342103,1
62237,405746,1
62237,315851,1
62237,859958,1
62237,1200769,1
62237,439327,1
62237,1445689,1
62237,791706,1
62237,421950,1
62237,424393,1
62237,772648,1
62237,1347017,1
62237,1125301,1
62237,1298996,1
62237,246258,1
62237,78378,1
62237,1290957,1
62237,30865,1
62237,986588,1
62237,1292835,1
62237,338223,1
