node1,node2,network
867304,1508488,1
867304,1072189,1
867304,486969,1
867304,574836,1
968047,50009,1
968047,1401557,1
968047,1194469,1
968047,182899,1
968047,1569667,1
968047,204912,1
968047,1235071,1
968047,1327347,1
968047,1102087,1
968047,1164742,1
968047,1264205,1
968047,1467275,1
968047,1011493,1
968047,586592,1
968047,805187,1
968047,1156709,1
1129833,264901,1
1129833,1323301,1
1129833,55733,1
1129833,1097174,1
1129833,373530,1
1129833,1219199,1
1556398,72552,1
1556398,612183,1
1556398,39557,1
1556398,915873,1
1556398,894343,1
1556398,862934,1
1556398,100567,1
1556398,266195,1
1556398,88371,1
1556398,920870,1
1556398,1244245,1
1556398,435691,1
1556398,1483628,1
1556398,1122202,1
1556398,1336551,1
1556398,1486568,1
1556398,1279393,1
1556398,726305,1
1556398,123503,1
1556398,1477093,1
5691,71172,1
686288,1266194,1
686288,418661,1
686288,1391141,1
686288,1264937,1
686288,108956,1
686288,1221690,1
686288,802252,1
686288,33275,1
686288,1224215,1
686288,1110503,1
686288,159893,1
686288,628814,1
686288,610222,1
686288,1262219,1
5738,544406,1
5738,429771,1
5738,853635,1
5738,920935,1
9218,6288,1
9218,62237,1
9218,122259,1
9218,211367,1
9218,348620,1
9218,408227,1
9218,450691,1
9218,566064,1
9218,570348,1
9218,574836,1
9218,577168,1
9218,617591,1
9218,939395,1
9218,965981,1
9218,1067123,1
9218,1077378,1
9218,1210344,1
9218,1336126,1
9218,1346514,1
9218,1432031,1
9218,1496427,1
9218,1508488,1
9218,194682,1
9218,171221,1
9218,380878,1
9218,523921,1
9218,1252174,1
9218,26273,1
9218,405153,1
9218,933638,1
9218,239018,1
9218,310874,1
9218,1168101,1
9218,156665,1
9218,1508873,1
9218,120858,1
9218,431866,1
9218,956841,1
9218,299343,1
9218,1325055,1
9218,12345,1
9218,166486,1
9218,1191343,1
9218,515372,1
9218,1351758,1
9218,968037,1
9218,424070,1
9218,668330,1
9218,720419,1
9218,1417595,1
9218,879248,1
9218,448169,1
9218,288856,1
9218,566294,1
9218,814185,1
9218,395566,1
9218,1289168,1
9218,1370331,1
9218,486969,1
9218,290348,1
9218,794595,1
9218,681970,1
9218,828225,1
9218,216681,1
9218,39564,1
9218,290580,1
9218,1570818,1
9218,474956,1
9218,1065888,1
9218,1189880,1
9218,753897,1
9218,1528338,1
9218,1214443,1
9218,291094,1
9218,229877,1
9218,51429,1
9218,399298,1
9218,330752,1
9218,1078351,1
9218,36324,1
9218,726480,1
9218,451032,1
9218,1015952,1
9218,8718,1
9218,403669,1
9218,1063520,1
9218,631213,1
9218,1365441,1
9218,570058,1
9218,1507757,1
9218,762585,1
9218,835174,1
9218,71456,1
9218,1376363,1
9218,1435652,1
9218,1410249,1
9218,1072498,1
9218,997648,1
9218,1401524,1
9218,1147201,1
9218,649626,1
9218,1536310,1
9218,376723,1
9218,1097960,1
9218,200366,1
9218,299449,1
9218,1404360,1
9218,674589,1
9218,1305752,1
9218,574656,1
9218,453050,1
9218,853692,1
9218,1389747,1
9218,102647,1
9218,742089,1
9218,1582719,1
9218,562725,1
9218,1072189,1
9218,772390,1
9218,926744,1
9218,1484309,1
9218,891601,1
920870,1280763,1
920870,123503,1
920870,416771,1
920870,1457353,1
920870,736671,1
920870,1282055,1
920870,617591,1
920870,266195,1
920870,770864,1
920870,1431269,1
920870,1244245,1
920870,891601,1
920870,915873,1
920870,862934,1
920870,39557,1
920870,1295679,1
920870,1401524,1
920870,423746,1
920870,1486568,1
920870,72552,1
958443,1201812,1
958443,1138493,1
958443,406141,1
958443,158016,1
958443,434348,1
958443,969132,1
958443,1281698,1
958443,524083,1
958443,39648,1
5901,892350,1
5901,1576255,1
244165,1402446,1
244165,320399,1
1439672,733298,1
1439672,1027234,1
1439672,797155,1
