node1,node2
536082,277913
536082,84136
536082,1295368
536082,766014
536082,798202
536082,330434
536082,1439847
536082,1388111
536082,1554715
536082,368163
536082,294612
536082,863929
536082,468232
536082,257250
536082,290801
536082,324877
536082,389055
536082,465256
536082,1364337
536082,156665
536082,974891
536082,52286
536082,354616
536082,438893
592095,402555
592095,844241
592095,991229
592095,806127
592095,1241472
592095,736047
592095,1151667
592095,815213
592095,1487754
592095,1107024
592095,1420987
592095,352613
592095,995680
592095,733816
592095,598113
592095,880423
592095,325827
761339,639151
761339,1554715
761339,736671
761339,319557
761339,1191201
761339,1439677
761339,1387406
761339,948985
761339,1235926
761339,1098361
761339,1053503
761339,1496225
761339,1257035
761339,980268
761339,1156662
761339,794291
761339,181697
761339,309584
761339,11854
761339,596189
761339,247934
761339,840189
761339,1365748
798202,823144
798202,1093800
798202,720915
798202,807451
798202,1556835
798202,284135
798202,406832
798202,410266
798202,1451178
798202,105520
798202,256671
798202,1503898
798202,3504
798202,156665
798202,1007050
798202,1236499
798202,151451
798202,623579
798202,256578
798202,567054
798202,1537917
798202,576934
798202,1396273
798202,820906
798202,67497
798202,806127
798202,854884
798202,585183
798202,303542
798202,1174918
798202,1420488
798202,113517
996197,11577
996197,459610
996197,1018063
996197,1063796
996197,1564334
996197,323161
996197,52286
996197,1305928
996197,175513
996197,981920
996197,466123
996197,156665
996197,392886
996197,479047
996197,1360494
996197,1439677
996197,264593
996197,123372
996197,305710
996197,1275398
996197,1110503
996197,289831
996197,337431
996197,135239
996197,854884
996197,273554
996197,1339675
996197,467052
996197,109085
996197,1451178
996197,726480
996197,1569935
996197,460372
996197,237628
1058999,1154230
1058999,1345936
1058999,1542031
1058999,811964
1058999,592526
1058999,900866
1058999,406832
1058999,804991
1058999,667166
1058999,776634
1058999,113517
1058999,33375
1058999,200352
1058999,781666
1058999,1067579
1058999,1567862
1058999,1093800
1058999,682442
1058999,1462731
1058999,267335
1058999,802661
1058999,1264895
1058999,1582514
1058999,236926
