node1,node2,network
274798,72705,0
274798,226715,0
274798,1175615,0
274798,934838,0
274798,470379,0
274798,1275398,0
274798,1345936,0
274798,54647,0
354616,257250,0
354616,133979,0
354616,1518962,0
354616,1339675,0
354616,457693,0
354616,572334,0
354616,576934,0
354616,798991,0
354616,1564452,0
354616,902245,0
354616,466587,0
354616,1040099,0
354616,273554,0
354616,518250,0
354616,402555,0
354616,165380,0
354616,608389,0
354616,802661,0
354616,1301974,0
396554,337779,0
396554,256596,0
396554,1394242,0
396554,963571,0
396554,761246,0
396554,1359217,0
396554,255925,0
396554,1146144,0
396554,406832,0
396554,470379,0
396554,243249,0
396554,368184,0
396554,1001133,0
396554,420908,0
396554,1092844,0
396554,1440786,0
396554,1261231,0
396554,1295368,0
396554,135239,0
396554,720915,0
396554,72705,0
396554,974037,0
396554,880423,0
466123,67497,0
466123,1168858,0
466123,237628,0
466123,169171,0
466123,1580675,0
466123,59297,0
466123,18384,0
466123,1497061,0
466123,1087507,0
466123,906660,0
466123,1511370,0
466123,156665,0
466123,1356292,0
466123,1301553,0
466123,1542031,0
466123,746130,0
466123,1462731,0
466123,874903,0
466123,1133462,0
466123,410266,0
466123,1025998,0
466123,886616,0
466123,985552,0
466123,1464746,0
466123,1420488,0
466123,1265600,0
466123,812127,0
466123,744364,0
545075,1360494,0
545075,390983,0
545075,381315,0
545075,883275,0
545075,184305,0
545075,448071,0
545075,880423,0
545075,388315,0
545075,1257035,0
545075,579622,0
545075,934838,0
545075,835818,0
545075,1146144,0
545075,1420987,0
545075,52286,0
545075,1175615,0
545075,389055,0
545075,1006458,0
545075,122853,0
545075,329307,0
826959,1364337,0
826959,1439677,0
826959,1123862,0
826959,267335,0
826959,844241,0
826959,882422,0
826959,15355,0
826959,169171,0
826959,710986,0
826959,3504,0
826959,974314,0
826959,633173,0
826959,152709,0
826959,644322,0
826959,874903,0
826959,1092844,0
826959,823144,0
826959,1556835,0
826959,445704,0
826959,1275398,0
826959,1071915,0
826959,181697,0
826959,1107024,0
826959,766014,0
826959,1431269,0
826959,906660,0
944246,612386,0
944246,256578,0
944246,1006458,0
944246,1206395,0
944246,887548,0
944246,1067683,0
944246,45245,0
944246,402555,0
944246,989005,0
944246,794291,0
944246,1416131,0
944246,1373851,0
944246,1306181,0
944246,964323,0
944246,1258429,0
944246,1026441,0
944246,1365748,0
944246,4523,0
1115669,1289503,0
1115669,524970,0
1115669,37128,0
1115669,667477,0
1115669,569831,0
1115669,1421191,0
1115669,109514,0
1115669,636984,0
1115669,1132391,0
1115669,1297273,0
1115669,1552800,0
1115669,1119176,0
1115669,115566,0
1115669,682442,0
1115669,959604,0
1178233,363598,0
1178233,999209,0
1178233,853209,0
1178233,668347,0
1178233,776769,0
1178233,228289,0
1178233,33325,0
1178233,985600,0
1178233,1017970,0
1178233,129454,0
1178233,471134,0
1178233,118645,0
1178233,694526,0
1225712,521589,0
1225712,1114915,0
1225712,667523,0
1225712,1378519,0
1341525,675035,0
1341525,1499403,0
1341525,1413579,0
1341525,592526,0
1341525,1236499,0
1341525,1129772,0
1341525,1551084,0
1341525,820906,0
1341525,1396273,0
1341525,1558275,0
1341525,277913,0
1341525,1110503,0
1341525,240621,0
1341525,1234820,0
1341525,733816,0
1341525,976963,0
1341525,1338486,0
1341525,1292886,0
1341525,1482802,0
1341525,395566,0
1341525,1388111,0
1341525,732094,0
1341525,1451178,0
1341525,247934,0
1341525,535428,0
1341525,804991,0
1341525,623579,0
1341525,459610,0
1341525,266195,0
1341525,368163,0
1341525,962111,0
1341525,1053503,0
1341525,1379246,0
1341525,801705,0
1341525,1203522,0
1341525,11854,0
