node1,node2
536082,1464968
536082,1496225
536082,1538091
592095,11577
592095,368184
592095,434010
592095,776634
592095,1069293
592095,1127027
592095,1346236
592095,598288
592095,798202
592095,962895
592095,1197546
592095,1234378
592095,1344119
761339,252524
761339,103873
761339,1254924
761339,421806
761339,798202
761339,135017
761339,1087507
761339,1146144
761339,1200643
761339,1223613
761339,1234378
761339,1234820
761339,1365748
761339,1420398
761339,1197546
761339,1204568
761339,1496225
798202,11577
798202,25008
798202,103873
798202,32956
798202,123372
798202,155987
798202,367269
798202,710986
798202,216405
798202,421806
798202,812110
798202,814762
798202,324877
798202,996197
798202,1111208
798202,1114229
798202,1191090
798202,1234378
798202,1234820
798202,1346236
798202,1538091
798202,989005
798202,1058999
798202,1146144
798202,1204568
798202,1219478
798202,1496225
996197,52286
996197,368184
996197,710986
996197,962895
996197,980268
996197,989005
996197,155987
996197,776634
996197,324877
996197,1087507
996197,1096597
996197,1119176
996197,1131934
996197,1219478
996197,1234820
996197,1254299
996197,1344119
996197,1346236
996197,1353435
996197,1464968
996197,1496225
996197,1058999
996197,1111208
996197,1451863
1058999,52286
1058999,229637
1058999,80724
1058999,616656
1058999,633173
1058999,710986
1058999,1478992
1058999,1254924
1058999,1087507
1058999,1127027
1058999,1131934
1058999,1234820
1058999,1254299
1058999,1346236
1058999,267955
1058999,1451863
1058999,1464968
1058999,1538091
1058999,1539280
1058999,1543604
1058999,1570420
1114229,103873
1114229,256412
1114229,273738
1114229,341826
1114229,595272
1114229,1111208
1114229,1127027
1114229,1219478
1114229,1484194
1127027,25008
1127027,273738
1127027,449653
1127027,516803
1127027,1363869
1127027,1496225
1127027,1204568
1127027,1484194
1131934,21054
1131934,45572
1131934,52286
1131934,1254924
1131934,516803
1131934,1087507
1131934,1204568
1131934,1219478
1131934,1254299
1131934,1346236
1131934,1353435
1131934,1538091
1131934,1539280
1131934,1451863
1131934,1496225
1131934,1570420
1219478,1254924
1219478,273738
1219478,341826
1219478,449653
1219478,595272
1219478,736047
1219478,1002751
1219478,1087507
1219478,256412
1219478,1254299
1219478,1451863
1219478,1484194
1344119,52286
1344119,123372
1344119,139982
